"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
15708,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",149,"Mwanamwinga","","Kata","Location"
15709,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",150,"Mwarakaya","","Kata","Location"
15710,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",151,"Rabai","","Kata","Location"
15711,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",152,"Ruruma","","Kata","Location"
15712,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",153,"Adu","","Kata","Location"
15713,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",154,"Bungale","","Kata","Location"
15714,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",155,"Chakama","","Kata","Location"
15715,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",156,"Fundi-Issa","","Kata","Location"
15716,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",157,"Ganda","","Kata","Location"
15717,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",158,"Garashi","","Kata","Location"
15718,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",159,"Gede","","Kata","Location"
15719,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",160,"Jilore","","Kata","Location"
15720,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",161,"Magarini","","Kata","Location"
15721,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",162,"Malindi","","Kata","Location"
15722,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",163,"Marafa","","Kata","Location"
15723,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",164,"Chengoni","","Kata","Location"
15724,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",165,"Kasemeni","","Kata","Location"
15725,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",166,"Kinango","","Kata","Location"
15726,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",167,"Mtaa","","Kata","Location"
15727,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",168,"Mwavumbo","","Kata","Location"
15728,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",169,"Ndavaya","","Kata","Location"
15729,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",170,"Puma","","Kata","Location"
15730,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",171,"Samburu","","Kata","Location"
15731,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",172,"Taru","","Kata","Location"
15732,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",173,"Lukore","","Kata","Location"
15733,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",174,"Majimboni","","Kata","Location"
15734,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",175,"Mkongani","","Kata","Location"
15735,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",176,"Mwaluphamba","","Kata","Location"
15736,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",177,"Shimba Hills National Reserve","","Kata","Location"
15737,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",178,"Ngombeni","","Kata","Location"
15738,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",179,"Tiwi","","Kata","Location"
15739,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",180,"Tshimba","","Kata","Location"
15740,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",181,"Waa","","Kata","Location"
15741,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",182,"Diani","","Kata","Location"
15742,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",183,"Kikoneni","","Kata","Location"
15743,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",184,"Kinondo","","Kata","Location"
15744,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",185,"Msambweni","","Kata","Location"
15745,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",186,"Mwereni","","Kata","Location"
15746,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",187,"Ngombeni","","Kata","Location"
15747,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",188,"Pongwe/Kidimu","","Kata","Location"
15748,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",189,"Vanga/Lunga Lunga","","Kata","Location"
15749,118,"KEN","Kenya",2,"Coast",9,"Lamu",41,"Amu",190,"Amu","","Kata","Location"
15750,118,"KEN","Kenya",2,"Coast",9,"Lamu",41,"Amu",191,"Mokowe","","Kata","Location"
15751,118,"KEN","Kenya",2,"Coast",9,"Lamu",42,"Faza",192,"Faza","","Kata","Location"
15752,118,"KEN","Kenya",2,"Coast",9,"Lamu",42,"Faza",193,"Siyu","","Kata","Location"
15753,118,"KEN","Kenya",2,"Coast",9,"Lamu",43,"Kiunga",194,"Kiunga","","Kata","Location"
15754,118,"KEN","Kenya",2,"Coast",9,"Lamu",44,"Mpeketoni",195,"Baharini","","Kata","Location"
15755,118,"KEN","Kenya",2,"Coast",9,"Lamu",44,"Mpeketoni",196,"Mkunumbi","","Kata","Location"
15756,118,"KEN","Kenya",2,"Coast",9,"Lamu",44,"Mpeketoni",197,"Mpeketoni","","Kata","Location"
15757,118,"KEN","Kenya",2,"Coast",9,"Lamu",45,"Witu",198,"Witu","","Kata","Location"
