"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43082,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",114,"Dadaab","","","Tarafa|Taarafa","Division"
43083,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",115,"Hulugho","","","Tarafa|Taarafa","Division"
43084,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",116,"Jarajila","","","Tarafa|Taarafa","Division"
43085,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",117,"Liboi","","","Tarafa|Taarafa","Division"
43086,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",118,"Masalani","","","Tarafa|Taarafa","Division"
43087,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",119,"Mbalambala","","","Tarafa|Taarafa","Division"
43088,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa",120,"Modogashe","","","Tarafa|Taarafa","Division"
43089,118,"KEN","Kenya",5,"North-Eastern",24,"Mandera",121,"Banissa","","","Tarafa|Taarafa","Division"
43090,118,"KEN","Kenya",5,"North-Eastern",24,"Mandera",122,"Central","","","Tarafa|Taarafa","Division"
43091,118,"KEN","Kenya",5,"North-Eastern",24,"Mandera",123,"Elwak","","","Tarafa|Taarafa","Division"
43092,118,"KEN","Kenya",5,"North-Eastern",24,"Mandera",124,"Fino","","","Tarafa|Taarafa","Division"
43093,118,"KEN","Kenya",5,"North-Eastern",24,"Mandera",125,"Rhamu","","","Tarafa|Taarafa","Division"
43094,118,"KEN","Kenya",5,"North-Eastern",24,"Mandera",126,"Tabaka","","","Tarafa|Taarafa","Division"
43095,118,"KEN","Kenya",5,"North-Eastern",25,"Wajir",127,"Bune","","","Tarafa|Taarafa","Division"
43096,118,"KEN","Kenya",5,"North-Eastern",25,"Wajir",128,"Bute","","","Tarafa|Taarafa","Division"
43097,118,"KEN","Kenya",5,"North-Eastern",25,"Wajir",129,"Central","","","Tarafa|Taarafa","Division"
43098,118,"KEN","Kenya",5,"North-Eastern",25,"Wajir",130,"Griftu","","","Tarafa|Taarafa","Division"
43099,118,"KEN","Kenya",5,"North-Eastern",25,"Wajir",131,"Habaswein","","","Tarafa|Taarafa","Division"
43100,118,"KEN","Kenya",5,"North-Eastern",25,"Wajir",132,"Wajir-Bor","","","Tarafa|Taarafa","Division"
43101,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",133,"Bondo","","","Tarafa|Taarafa","Division"
43102,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",134,"Kendul Bay","","","Tarafa|Taarafa","Division"
43103,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",135,"Lake Victoria","","","Tarafa|Taarafa","Division"
43104,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",136,"Maseno","","","Tarafa|Taarafa","Division"
43105,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",137,"Mbita","","","Tarafa|Taarafa","Division"
43106,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",138,"Ndhiwa","","","Tarafa|Taarafa","Division"
43107,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",139,"Oyugis","","","Tarafa|Taarafa","Division"
43108,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",140,"Rangwe","","","Tarafa|Taarafa","Division"
43109,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",141,"Rarieda","","","Tarafa|Taarafa","Division"
43110,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay",142,"Winam","","","Tarafa|Taarafa","Division"
43111,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",143,"Bosongo","","","Tarafa|Taarafa","Division"
43112,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",144,"Irianyi","","","Tarafa|Taarafa","Division"
43113,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",145,"Kisii Municipality","","","Tarafa|Taarafa","Division"
43114,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",146,"Marani","","","Tarafa|Taarafa","Division"
43115,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",147,"Masaba","","","Tarafa|Taarafa","Division"
43116,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",148,"Nyamache","","","Tarafa|Taarafa","Division"
43117,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",149,"Ogembo","","","Tarafa|Taarafa","Division"
43118,118,"KEN","Kenya",6,"Nyanza",27,"Kisii",150,"Suneka","","","Tarafa|Taarafa","Division"
43119,118,"KEN","Kenya",6,"Nyanza",28,"Kisumu",151,"Lower Nyakach","","","Tarafa|Taarafa","Division"
43120,118,"KEN","Kenya",6,"Nyanza",28,"Kisumu",152,"Maseno","","","Tarafa|Taarafa","Division"
43121,118,"KEN","Kenya",6,"Nyanza",28,"Kisumu",153,"Muhoroni","","","Tarafa|Taarafa","Division"
43122,118,"KEN","Kenya",6,"Nyanza",28,"Kisumu",154,"Nyando","","","Tarafa|Taarafa","Division"
43123,118,"KEN","Kenya",6,"Nyanza",28,"Kisumu",155,"Upper Nyakach","","","Tarafa|Taarafa","Division"
43124,118,"KEN","Kenya",6,"Nyanza",28,"Kisumu",156,"Winam","","","Tarafa|Taarafa","Division"
43125,118,"KEN","Kenya",6,"Nyanza",29,"Migori",157,"Kechancha","","","Tarafa|Taarafa","Division"
43126,118,"KEN","Kenya",6,"Nyanza",29,"Migori",158,"Migori","","","Tarafa|Taarafa","Division"
43127,118,"KEN","Kenya",6,"Nyanza",29,"Migori",159,"Nyatike","","","Tarafa|Taarafa","Division"
43128,118,"KEN","Kenya",6,"Nyanza",29,"Migori",160,"Rongo","","","Tarafa|Taarafa","Division"
43129,118,"KEN","Kenya",6,"Nyanza",30,"Nyamira",161,"Borabu","","","Tarafa|Taarafa","Division"
43130,118,"KEN","Kenya",6,"Nyanza",30,"Nyamira",162,"Ekerenyo","","","Tarafa|Taarafa","Division"
43131,118,"KEN","Kenya",6,"Nyanza",30,"Nyamira",163,"Magombo","","","Tarafa|Taarafa","Division"
43132,118,"KEN","Kenya",6,"Nyanza",30,"Nyamira",164,"Nyamira","","","Tarafa|Taarafa","Division"
43133,118,"KEN","Kenya",6,"Nyanza",31,"Siaya",165,"Bondo","","","Tarafa|Taarafa","Division"
43134,118,"KEN","Kenya",6,"Nyanza",31,"Siaya",166,"Boro","","","Tarafa|Taarafa","Division"
43135,118,"KEN","Kenya",6,"Nyanza",31,"Siaya",167,"Rarieda","","","Tarafa|Taarafa","Division"
43136,118,"KEN","Kenya",6,"Nyanza",31,"Siaya",168,"Ugunja","","","Tarafa|Taarafa","Division"
43137,118,"KEN","Kenya",6,"Nyanza",31,"Siaya",169,"Ukwala","","","Tarafa|Taarafa","Division"
43138,118,"KEN","Kenya",6,"Nyanza",31,"Siaya",170,"Yala","","","Tarafa|Taarafa","Division"
43139,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",171,"Kabarnet","","","Tarafa|Taarafa","Division"
43140,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",172,"Kabartonjo","","","Tarafa|Taarafa","Division"
43141,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",173,"Marigat","","","Tarafa|Taarafa","Division"
43142,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",174,"Mochongoi","","","Tarafa|Taarafa","Division"
43143,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",175,"Mogotio","","","Tarafa|Taarafa","Division"
43144,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",176,"Nginyang","","","Tarafa|Taarafa","Division"
43145,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",177,"Ravine","","","Tarafa|Taarafa","Division"
43146,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo",178,"Tenges","","","Tarafa|Taarafa","Division"
43147,118,"KEN","Kenya",7,"Rift Valley",33,"Bomet",179,"Bomet","","","Tarafa|Taarafa","Division"
43148,118,"KEN","Kenya",7,"Rift Valley",33,"Bomet",180,"Chepalungu","","","Tarafa|Taarafa","Division"
43149,118,"KEN","Kenya",7,"Rift Valley",33,"Bomet",181,"Konoin","","","Tarafa|Taarafa","Division"
43150,118,"KEN","Kenya",7,"Rift Valley",34,"Elgeyo-Marakwet",182,"Central","","","Tarafa|Taarafa","Division"
43151,118,"KEN","Kenya",7,"Rift Valley",34,"Elgeyo-Marakwet",183,"Kapcherop","","","Tarafa|Taarafa","Division"
43152,118,"KEN","Kenya",7,"Rift Valley",34,"Elgeyo-Marakwet",184,"Northern","","","Tarafa|Taarafa","Division"
43153,118,"KEN","Kenya",7,"Rift Valley",34,"Elgeyo-Marakwet",185,"Southern","","","Tarafa|Taarafa","Division"
43154,118,"KEN","Kenya",7,"Rift Valley",34,"Elgeyo-Marakwet",186,"Tot","","","Tarafa|Taarafa","Division"
43155,118,"KEN","Kenya",7,"Rift Valley",35,"Kericho",187,"Belgut","","","Tarafa|Taarafa","Division"
43156,118,"KEN","Kenya",7,"Rift Valley",35,"Kericho",188,"Buret","","","Tarafa|Taarafa","Division"
43157,118,"KEN","Kenya",7,"Rift Valley",35,"Kericho",189,"Kipkelion","","","Tarafa|Taarafa","Division"
43158,118,"KEN","Kenya",7,"Rift Valley",35,"Kericho",190,"Londiani","","","Tarafa|Taarafa","Division"
43159,118,"KEN","Kenya",7,"Rift Valley",36,"Laikipia",191,"Central","","","Tarafa|Taarafa","Division"
43160,118,"KEN","Kenya",7,"Rift Valley",36,"Laikipia",192,"Mukogondo","","","Tarafa|Taarafa","Division"
